epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,35.8608,1.27178,2.10676,1.41327,0.44578,0.43176,0.37089,0.12507,1.3966,2.52747,1.68815,0.00118818,0.00118818,0.00118818
43,36.5051,1.30665,2.19656,1.51698,0.45879,0.41417,0.36331,0.10954,1.41395,2.61017,1.68822,0.00116837,0.00116837,0.00116837
44,37.1545,1.28947,2.08099,1.45193,0.40645,0.40327,0.33402,0.10539,1.43587,2.60454,1.67881,0.00114857,0.00114857,0.00114857
45,37.8045,1.28071,2.14057,1.46256,0.4101,0.35695,0.32011,0.10149,1.45506,2.67335,1.69092,0.00112877,0.00112877,0.00112877
46,38.451,1.27759,2.09,1.40737,0.42589,0.40327,0.34344,0.11148,1.40626,2.53758,1.70914,0.00110897,0.00110897,0.00110897
47,39.103,1.26773,2.06613,1.45207,0.37867,0.34605,0.30806,0.09645,1.45822,2.66011,1.82939,0.00108917,0.00108917,0.00108917
48,39.9051,1.29835,2.07174,1.45616,0.32095,0.26703,0.2154,0.07347,1.45773,2.95528,1.81974,0.00106937,0.00106937,0.00106937
49,40.5498,1.28779,2.04718,1.44461,0.34885,0.29428,0.26484,0.08801,1.45093,2.9683,1.80356,0.00104957,0.00104957,0.00104957
50,41.1975,1.25799,2.02783,1.41086,0.44334,0.33515,0.35741,0.12253,1.42753,2.6264,1.75367,0.00102977,0.00102977,0.00102977
51,41.8368,1.24922,2.02229,1.41685,0.35765,0.3733,0.29667,0.09978,1.43926,2.79508,1.76738,0.00100997,0.00100997,0.00100997
52,42.4783,1.2533,2.0509,1.42154,0.39315,0.41417,0.37532,0.12162,1.44449,2.46975,1.72941,0.000990169,0.000990169,0.000990169
53,43.122,1.23291,1.97206,1.3976,0.47121,0.42507,0.38164,0.12411,1.44096,2.43801,1.72563,0.000970369,0.000970369,0.000970369
54,43.7683,1.27731,1.97059,1.4281,0.40749,0.40872,0.3675,0.11502,1.45067,2.5485,1.74818,0.000950568,0.000950568,0.000950568
55,44.4137,1.24666,1.97095,1.44524,0.42918,0.42234,0.37523,0.12516,1.41931,2.49921,1.73746,0.000930768,0.000930768,0.000930768
56,45.06,1.2719,2.01055,1.44438,0.47755,0.40054,0.38166,0.12302,1.43783,2.50256,1.71242,0.000910967,0.000910967,0.000910967
57,45.7027,1.26035,2.01579,1.39641,0.44598,0.43052,0.38245,0.12413,1.42649,2.54291,1.73045,0.000891166,0.000891166,0.000891166
58,46.3465,1.22186,1.97249,1.38209,0.45553,0.39237,0.3721,0.12847,1.40043,2.50629,1.72531,0.000871366,0.000871366,0.000871366
59,46.9898,1.2467,1.9333,1.39118,0.44344,0.43052,0.37961,0.12799,1.43698,2.47998,1.74623,0.000851565,0.000851565,0.000851565
60,47.6393,1.22105,1.90294,1.38072,0.49975,0.42234,0.42483,0.14411,1.42509,2.35421,1.71973,0.000831765,0.000831765,0.000831765
61,48.2879,1.1975,1.89069,1.38613,0.47769,0.44687,0.41855,0.13575,1.43098,2.43819,1.71086,0.000811964,0.000811964,0.000811964
62,48.935,1.24708,1.91364,1.3911,0.44268,0.44959,0.40797,0.13696,1.44358,2.43484,1.68533,0.000792163,0.000792163,0.000792163
63,49.5815,1.23382,1.90963,1.40317,0.44362,0.46276,0.39745,0.13012,1.456,2.38756,1.68971,0.000772363,0.000772363,0.000772363
64,50.2299,1.229,1.89496,1.39856,0.423,0.47942,0.38318,0.12413,1.47394,2.4711,1.72474,0.000752562,0.000752562,0.000752562
65,50.8762,1.23138,1.89528,1.4175,0.49384,0.43068,0.42705,0.13748,1.42704,2.39701,1.68513,0.000732762,0.000732762,0.000732762
66,51.5266,1.23281,1.82942,1.34857,0.4022,0.42234,0.35253,0.11225,1.46387,2.49063,1.68889,0.000712961,0.000712961,0.000712961
67,52.1774,1.23171,1.86745,1.37549,0.56649,0.40872,0.4437,0.13955,1.42907,2.42284,1.67467,0.00069316,0.00069316,0.00069316
68,52.8201,1.25273,1.86587,1.36962,0.50987,0.41962,0.39989,0.11808,1.48127,2.46456,1.70839,0.00067336,0.00067336,0.00067336
69,53.4703,1.25419,1.89958,1.39352,0.46808,0.44414,0.40125,0.13038,1.42952,2.4242,1.66166,0.000653559,0.000653559,0.000653559
70,54.1165,1.23894,1.90118,1.37631,0.44239,0.43235,0.38964,0.13425,1.40587,2.43776,1.68773,0.000633759,0.000633759,0.000633759
71,54.763,1.21306,1.90692,1.36226,0.48333,0.42234,0.40122,0.13231,1.43187,2.46049,1.68896,0.000613958,0.000613958,0.000613958
72,55.4111,1.21021,1.82203,1.34191,0.4924,0.39782,0.40194,0.13292,1.42063,2.50326,1.69354,0.000594157,0.000594157,0.000594157
73,56.0594,1.22081,1.83175,1.36905,0.51161,0.40872,0.39335,0.13715,1.40478,2.42909,1.68675,0.000574357,0.000574357,0.000574357
74,56.8799,1.21506,1.83253,1.35582,0.46936,0.43324,0.38555,0.13397,1.42167,2.38795,1.69405,0.000554556,0.000554556,0.000554556
75,57.5306,1.20582,1.81891,1.36116,0.45709,0.41962,0.39311,0.12831,1.42893,2.43786,1.71485,0.000534756,0.000534756,0.000534756
76,58.1771,1.18913,1.79835,1.36779,0.51811,0.39782,0.39741,0.13014,1.45352,2.39496,1.73548,0.000514955,0.000514955,0.000514955
77,58.8258,1.20822,1.80574,1.35157,0.45988,0.45777,0.40691,0.13921,1.44733,2.38248,1.72862,0.000495154,0.000495154,0.000495154
78,59.4734,1.19181,1.76489,1.35722,0.40777,0.3951,0.36019,0.12314,1.44999,2.47814,1.7254,0.000475354,0.000475354,0.000475354
79,60.1216,1.19375,1.76066,1.35808,0.45898,0.44687,0.40639,0.13511,1.44203,2.3785,1.67621,0.000455553,0.000455553,0.000455553
80,60.7677,1.18703,1.73634,1.31688,0.4677,0.43869,0.39424,0.13616,1.43348,2.36387,1.65707,0.000435753,0.000435753,0.000435753
81,61.4152,1.19446,1.77393,1.34702,0.48348,0.43324,0.3953,0.13679,1.42928,2.3707,1.6586,0.000415952,0.000415952,0.000415952
82,62.0664,1.16958,1.7058,1.32458,0.48148,0.48072,0.42366,0.13912,1.45995,2.30903,1.68522,0.000396151,0.000396151,0.000396151
