epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,8.57463,2.03247,3.75871,2.10327,0.01101,0.47684,0.01828,0.00657,1.83766,3.71768,2.00129,0.00022,0.00022,0.00022
2,9.18344,1.87439,3.11561,1.76515,0.00994,0.43052,0.04725,0.01461,1.89374,3.78441,2.16027,0.00044482,0.00044482,0.00044482
3,9.78403,1.89028,2.5938,1.72709,0.48244,0.05335,0.07035,0.02119,1.8129,3.56633,2.02115,0.0006538,0.0006538,0.0006538
4,10.403,1.82872,2.44057,1.77836,0.01604,0.69482,0.06017,0.02039,1.84083,3.22737,2.00402,0.00084694,0.00084694,0.00084694
5,11.0665,1.8165,2.40617,1.80994,0.26539,0.12807,0.13351,0.03765,1.82635,3.0102,1.98869,0.00102424,0.00102424,0.00102424
6,11.7217,1.79097,2.33102,1.80787,0.33639,0.1547,0.17119,0.04968,1.90658,2.9804,1.97115,0.0011857,0.0011857,0.0011857
7,12.3586,1.76396,2.34891,1.78723,0.13643,0.31296,0.09007,0.02854,1.78527,3.13574,1.96484,0.00133132,0.00133132,0.00133132
8,12.9725,1.76756,2.29165,1.7495,0.0599,0.30518,0.0442,0.0145,1.74435,3.84628,2.00203,0.0014611,0.0014611,0.0014611
9,13.5833,1.75502,2.23947,1.76308,0.27995,0.31335,0.20584,0.06714,1.74839,2.72024,1.94087,0.001472,0.001472,0.001472
10,14.2024,1.74996,2.23487,1.74535,0.26205,0.3733,0.20491,0.06249,1.78491,2.7968,1.93941,0.001406,0.001406,0.001406
11,14.8206,1.75108,2.24844,1.79364,0.36253,0.37655,0.28766,0.08884,1.80676,3.06164,1.95932,0.00134,0.00134,0.00134
12,15.4329,1.7184,2.1322,1.72352,0.37826,0.3297,0.26447,0.08101,1.81881,2.95117,1.99359,0.001274,0.001274,0.001274
13,16.0339,1.71857,2.11138,1.67724,0.28258,0.3733,0.27015,0.08407,1.85102,2.9808,1.91684,0.001208,0.001208,0.001208
14,16.6212,1.6874,2.10785,1.65714,0.34092,0.37057,0.28624,0.08905,1.85855,2.50736,1.86017,0.001142,0.001142,0.001142
15,17.2003,1.66954,2.062,1.6714,0.40236,0.32425,0.30661,0.09941,1.8432,2.30898,1.88498,0.001076,0.001076,0.001076
16,17.7764,1.70009,2.08342,1.703,0.44188,0.34605,0.33535,0.11171,1.78711,2.28033,1.87376,0.00101,0.00101,0.00101
17,18.3578,1.67168,2.09838,1.66742,0.45603,0.34877,0.34642,0.11878,1.75306,2.28235,1.82076,0.000944,0.000944,0.000944
18,18.9406,1.67363,2.01709,1.63695,0.38636,0.3733,0.32957,0.11725,1.78831,2.283,1.86778,0.000878,0.000878,0.000878
19,19.5168,1.64953,1.96922,1.62182,0.46539,0.35344,0.35301,0.1215,1.78973,2.23218,1.88719,0.000812,0.000812,0.000812
20,20.1029,1.65571,2.06704,1.67102,0.43893,0.38965,0.33549,0.10666,1.80572,2.27985,1.8515,0.000746,0.000746,0.000746
21,20.6833,1.65149,2.0746,1.64512,0.44571,0.37028,0.34968,0.11345,1.76156,2.23293,1.83327,0.00068,0.00068,0.00068
22,21.5519,1.63188,2.23546,1.66456,0.38737,0.3406,0.31041,0.10623,1.71239,2.27822,1.84695,0.000614,0.000614,0.000614
23,22.1226,1.63333,2.19706,1.73225,0.40763,0.36563,0.35908,0.13104,1.69894,2.24433,1.8253,0.000548,0.000548,0.000548
24,22.6982,1.60474,2.091,1.66283,0.48261,0.40054,0.39541,0.14166,1.7125,2.20371,1.78586,0.000482,0.000482,0.000482
25,23.2648,1.59155,2.05285,1.63393,0.4937,0.43869,0.42008,0.14769,1.72585,2.16188,1.78612,0.000416,0.000416,0.000416
26,23.8295,1.60888,2.03686,1.66387,0.50821,0.43364,0.43594,0.15053,1.72525,2.1198,1.78969,0.00035,0.00035,0.00035
27,24.4021,1.62086,2.0202,1.67176,0.54319,0.41689,0.43058,0.15239,1.72053,2.16681,1.78676,0.000284,0.000284,0.000284
28,24.9726,1.57501,1.99539,1.61911,0.50647,0.45777,0.42699,0.15151,1.70106,2.15183,1.78174,0.000218,0.000218,0.000218
29,25.548,1.57986,1.93768,1.60188,0.51161,0.43869,0.42381,0.14741,1.7076,2.12927,1.78867,0.000152,0.000152,0.000152
30,26.1186,1.58452,1.94454,1.63168,0.50016,0.46322,0.42045,0.14864,1.706,2.11533,1.78973,8.6e-05,8.6e-05,8.6e-05
