epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,8.59028,1.90589,4.57626,1.2746,0.01277,0.55313,0.03402,0.00876,1.73614,4.47541,1.20447,0.00022,0.00022,0.00022
2,9.20198,1.78367,3.71163,1.11319,0.01648,0.7139,0.11928,0.04069,1.65641,4.26452,1.10851,0.000444822,0.000444822,0.000444822
3,9.79779,1.79471,3.09905,1.09812,0.01862,0.80654,0.13995,0.03809,1.69723,3.97606,1.10344,0.000653807,0.000653807,0.000653807
4,10.4191,1.76183,3.04456,1.09981,0.01629,0.70572,0.08152,0.02022,1.78476,3.8462,1.12823,0.000846955,0.000846955,0.000846955
5,11.0333,1.70804,2.93159,1.13621,0.23164,0.09809,0.10052,0.02845,1.67002,3.68063,1.18476,0.00102427,0.00102427,0.00102427
6,11.6345,1.72598,2.96445,1.1003,0.18346,0.12807,0.09191,0.02547,1.81435,3.79306,1.36206,0.00118574,0.00118574,0.00118574
7,12.2406,1.75301,2.94192,1.12893,0.03646,0.12534,0.02239,0.0078,1.87343,5.22349,1.38238,0.00133137,0.00133137,0.00133137
8,12.8406,1.74114,2.86617,1.12202,0.08766,0.19619,0.06745,0.02042,1.80897,4.38158,1.30074,0.00146117,0.00146117,0.00146117
9,13.4525,1.71104,2.7833,1.09163,0.14967,0.29428,0.10622,0.03275,1.74213,4.26143,1.26313,0.00147209,0.00147209,0.00147209
10,14.0475,1.69706,2.79681,1.1003,0.16782,0.32153,0.12252,0.03933,1.71784,3.88081,1.24055,0.0014061,0.0014061,0.0014061
11,14.631,1.65572,2.65907,1.06986,0.33127,0.35422,0.2855,0.09145,1.75914,3.31437,1.27722,0.00134011,0.00134011,0.00134011
12,15.2182,1.70143,2.65959,1.0808,0.37718,0.37875,0.32494,0.10076,1.74576,3.14816,1.22672,0.00127412,0.00127412,0.00127412
13,15.7989,1.67299,2.7143,1.09587,0.42243,0.41962,0.3425,0.11405,1.68138,2.94939,1.15125,0.00120813,0.00120813,0.00120813
14,16.3797,1.64207,2.63892,1.07917,0.34621,0.34605,0.26172,0.08119,1.69773,2.98523,1.1646,0.00114214,0.00114214,0.00114214
15,16.9561,1.63301,2.58973,1.07697,0.35702,0.36614,0.26854,0.08858,1.71481,3.02438,1.18416,0.00107615,0.00107615,0.00107615
16,17.5319,1.66707,2.6452,1.08985,0.30413,0.33243,0.23021,0.07053,1.73013,2.96615,1.20329,0.00101016,0.00101016,0.00101016
17,18.1062,1.62886,2.56344,1.05973,0.31266,0.33787,0.24005,0.07394,1.73559,2.97969,1.21591,0.000944171,0.000944171,0.000944171
18,18.6821,1.63568,2.54247,1.05984,0.34191,0.43052,0.2861,0.08776,1.71703,2.80138,1.17738,0.000878181,0.000878181,0.000878181
19,19.2562,1.6182,2.52403,1.05267,0.39289,0.39237,0.33482,0.11145,1.67555,2.73474,1.15597,0.000812192,0.000812192,0.000812192
20,19.8332,1.63423,2.43779,1.04539,0.40761,0.38809,0.33779,0.10753,1.70609,2.73303,1.16546,0.000746203,0.000746203,0.000746203
21,20.4096,1.64936,2.47457,1.03683,0.47361,0.40207,0.40191,0.13588,1.66259,2.67189,1.13404,0.000680213,0.000680213,0.000680213
22,20.9855,1.59632,2.47386,1.03944,0.46068,0.42234,0.39007,0.13186,1.65672,2.71667,1.11825,0.000614224,0.000614224,0.000614224
23,21.564,1.57576,2.37271,0.99604,0.45524,0.42352,0.38848,0.12887,1.6841,2.61385,1.12081,0.000548235,0.000548235,0.000548235
24,22.139,1.58859,2.41178,1.00752,0.43467,0.41689,0.36973,0.12296,1.68282,2.66334,1.12878,0.000482245,0.000482245,0.000482245
25,22.9908,1.60857,2.70615,1.04365,0.42576,0.38965,0.35672,0.12323,1.65917,2.69842,1.13204,0.000416256,0.000416256,0.000416256
26,23.5562,1.58893,2.58397,1.04656,0.41625,0.43324,0.37546,0.13008,1.63526,2.69979,1.11897,0.000350267,0.000350267,0.000350267
27,24.1202,1.5609,2.45792,1.02078,0.45163,0.43052,0.39827,0.13401,1.63607,2.66854,1.09354,0.000284277,0.000284277,0.000284277
28,24.687,1.55568,2.51983,1.01784,0.45295,0.41962,0.38645,0.13317,1.63456,2.65509,1.09193,0.000218288,0.000218288,0.000218288
29,25.2508,1.53553,2.44763,1.01022,0.45074,0.40872,0.37877,0.13374,1.6281,2.6277,1.1005,0.000152299,0.000152299,0.000152299
30,25.8129,1.53927,2.39987,1.01554,0.43678,0.41144,0.39802,0.14307,1.61717,2.59728,1.09778,8.63093e-05,8.63093e-05,8.63093e-05
