epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,8.58693,2.53511,3.43457,1.78201,0.00937,0.40599,0.01034,0.00343,2.28817,3.48803,1.76809,0.00022,0.00022,0.00022
2,9.2018,2.38657,2.95041,1.57989,0.01736,0.75204,0.12481,0.03195,2.3906,3.18172,1.50898,0.00044482,0.00044482,0.00044482
3,9.80165,2.39166,2.42511,1.50184,0.43896,0.12807,0.16906,0.04807,2.34313,3.01008,1.61764,0.0006538,0.0006538,0.0006538
4,10.4205,2.38395,2.24782,1.55691,0.13221,0.29155,0.13653,0.04149,2.34953,2.89433,1.69975,0.000846941,0.000846941,0.000846941
5,11.0317,2.33121,2.16531,1.55469,0.23484,0.14441,0.11526,0.03553,2.39142,2.76551,1.85935,0.00102424,0.00102424,0.00102424
6,11.6322,2.3442,2.14666,1.56254,0.10932,0.11172,0.04512,0.01177,2.37968,3.00419,1.96051,0.0011857,0.0011857,0.0011857
7,12.2355,2.25413,2.12786,1.52244,0.23278,0.23978,0.1316,0.04586,2.41689,2.6256,1.81862,0.00133132,0.00133132,0.00133132
8,12.8262,2.29107,2.13618,1.50417,0.264,0.26431,0.16219,0.0456,2.42549,2.5253,1.7944,0.0014611,0.0014611,0.0014611
9,13.4115,2.26038,2.1144,1.50608,0.26895,0.2752,0.16782,0.04689,2.578,2.4576,1.78301,0.00147201,0.00147201,0.00147201
10,14.0002,2.27848,2.04896,1.51308,0.22235,0.23841,0.138,0.04171,2.74773,2.54376,1.82439,0.00140601,0.00140601,0.00140601
11,14.6034,2.22948,2.01192,1.48174,0.22584,0.27248,0.15285,0.03677,2.59074,2.78344,1.78286,0.00134001,0.00134001,0.00134001
12,15.1899,2.24344,2.02913,1.51636,0.29784,0.31335,0.24441,0.07614,2.3045,2.29278,1.65479,0.00127401,0.00127401,0.00127401
13,15.7673,2.19993,2.00608,1.47779,0.32315,0.3079,0.24065,0.08061,2.2873,2.30941,1.63643,0.00120801,0.00120801,0.00120801
14,16.3482,2.20453,1.96856,1.4782,0.37572,0.37062,0.32621,0.10303,2.29384,2.15839,1.63103,0.00114201,0.00114201,0.00114201
15,16.9257,2.201,1.99275,1.50943,0.37885,0.37602,0.30857,0.09893,2.26407,2.20103,1.61876,0.00107601,0.00107601,0.00107601
16,17.5033,2.19699,1.93697,1.47915,0.38944,0.38965,0.34738,0.11086,2.25771,2.10507,1.58768,0.00101001,0.00101001,0.00101001
17,18.0833,2.17895,1.88879,1.45147,0.35932,0.42507,0.32981,0.10527,2.36627,2.15734,1.61066,0.000944011,0.000944011,0.000944011
18,18.6622,2.20732,1.93016,1.47835,0.45505,0.41689,0.36553,0.1233,2.27497,2.07086,1.56541,0.000878011,0.000878011,0.000878011
19,19.243,2.1248,1.87654,1.44198,0.37717,0.39782,0.3262,0.1146,2.2343,2.07277,1.5718,0.000812012,0.000812012,0.000812012
20,19.8162,2.11062,1.84892,1.42095,0.43784,0.41144,0.34074,0.12226,2.21487,2.06163,1.59998,0.000746013,0.000746013,0.000746013
21,20.6738,2.12654,2.03426,1.47482,0.38731,0.41689,0.3567,0.12376,2.18778,2.08041,1.57671,0.000680013,0.000680013,0.000680013
22,21.2393,2.11254,2.04631,1.45839,0.41829,0.41689,0.3561,0.1293,2.15122,2.07539,1.53855,0.000614014,0.000614014,0.000614014
23,21.8051,2.0826,1.98663,1.47615,0.45375,0.40062,0.3804,0.13606,2.16297,2.02101,1.55715,0.000548015,0.000548015,0.000548015
24,22.375,2.10556,1.91317,1.47775,0.42786,0.36512,0.36324,0.13027,2.20777,2.07712,1.54253,0.000482015,0.000482015,0.000482015
25,22.9453,2.07629,1.90731,1.4507,0.4937,0.3406,0.3668,0.13552,2.19575,2.07087,1.57683,0.000416016,0.000416016,0.000416016
26,23.5126,2.04683,1.88101,1.46416,0.43658,0.4075,0.37847,0.13446,2.2085,2.04602,1.57761,0.000350017,0.000350017,0.000350017
27,24.0786,2.06597,1.80872,1.41714,0.42043,0.42779,0.37468,0.13326,2.22492,2.02804,1.57714,0.000284017,0.000284017,0.000284017
28,24.6477,2.04182,1.85288,1.41269,0.46756,0.41144,0.39264,0.13781,2.17807,1.97768,1.5624,0.000218018,0.000218018,0.000218018
29,25.2155,2.03406,1.81645,1.4189,0.46662,0.42234,0.38108,0.13509,2.16852,1.9781,1.5569,0.000152019,0.000152019,0.000152019
30,25.7856,2.0221,1.81634,1.43483,0.46187,0.42507,0.39426,0.13752,2.17556,1.97339,1.54931,8.60193e-05,8.60193e-05,8.60193e-05
