epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,8.57095,2.30533,3.47433,2.07294,0.01333,0.57766,0.02477,0.00741,2.1216,3.38327,1.94988,0.00022,0.00022,0.00022
2,9.18096,2.11923,2.89211,1.75485,0.01623,0.703,0.0997,0.02944,1.98617,3.28272,1.80251,0.00044482,0.00044482,0.00044482
3,9.77695,2.16257,2.37984,1.71269,0.29132,0.10354,0.10942,0.03182,2.07945,3.096,1.87014,0.0006538,0.0006538,0.0006538
4,10.397,2.09092,2.24102,1.75742,0.11177,0.22071,0.08438,0.02179,2.21602,2.85977,1.82431,0.00084694,0.00084694,0.00084694
5,11.0314,2.04227,2.19219,1.78874,0.18044,0.15531,0.09319,0.02801,2.11343,2.72953,2.01078,0.00102424,0.00102424,0.00102424
6,11.6608,2.04128,2.12846,1.80903,0.3192,0.24796,0.22358,0.062,2.08127,2.7748,1.95477,0.0011857,0.0011857,0.0011857
7,12.2862,2.01475,2.145,1.78243,0.22824,0.29428,0.15141,0.04113,2.15887,2.6353,1.9985,0.00133132,0.00133132,0.00133132
8,12.9239,2.02319,2.08872,1.76359,0.25285,0.32153,0.20651,0.05994,2.0891,2.64046,1.96265,0.0014611,0.0014611,0.0014611
9,13.5482,2.0228,2.06751,1.77226,0.27858,0.34332,0.22228,0.0641,2.17388,2.63716,1.98305,0.001472,0.001472,0.001472
10,14.1555,2.01067,2.04547,1.75193,0.35367,0.35039,0.29664,0.08578,2.07824,2.35774,1.93646,0.001406,0.001406,0.001406
11,14.7425,1.98363,2.05199,1.76634,0.37451,0.2752,0.2504,0.07644,2.09232,2.34,2.0296,0.00134,0.00134,0.00134
12,15.3298,1.96566,1.9692,1.73463,0.32455,0.3406,0.2327,0.07352,2.11623,2.23741,2.01441,0.001274,0.001274,0.001274
13,15.9189,1.96239,1.94766,1.68476,0.41874,0.37689,0.30779,0.0945,2.09986,2.20305,1.90728,0.001208,0.001208,0.001208
14,16.5028,1.92602,1.92914,1.68379,0.31508,0.41962,0.30927,0.09657,2.04339,2.16833,1.87126,0.001142,0.001142,0.001142
15,17.0786,1.88153,1.88486,1.67994,0.3916,0.40327,0.33966,0.1046,2.107,2.11274,1.94825,0.001076,0.001076,0.001076
16,17.6541,1.97049,1.91264,1.7194,0.42161,0.36512,0.33668,0.10952,2.06665,2.15625,1.87486,0.00101,0.00101,0.00101
17,18.2331,1.91367,1.94832,1.67209,0.39208,0.3954,0.33571,0.1119,2.06854,2.09106,1.84335,0.000944,0.000944,0.000944
18,18.8164,1.91553,1.87714,1.65416,0.4072,0.37057,0.33073,0.1028,2.10802,2.2493,1.88632,0.000878,0.000878,0.000878
19,19.3929,1.85947,1.82431,1.61794,0.4031,0.46866,0.36696,0.1203,2.05903,2.08851,1.88797,0.000812,0.000812,0.000812
20,19.9732,1.88202,1.90641,1.66909,0.40493,0.44314,0.31844,0.10308,2.02201,2.08479,1.84312,0.000746,0.000746,0.000746
21,20.824,1.92465,2.06104,1.71415,0.33347,0.35695,0.28391,0.10176,1.98628,2.15096,1.88173,0.00068,0.00068,0.00068
22,21.3927,1.88604,2.05982,1.72634,0.38716,0.3842,0.33137,0.10965,2.0103,2.12135,1.80425,0.000614,0.000614,0.000614
23,21.9585,1.86126,1.98073,1.69891,0.44617,0.40872,0.36976,0.13129,1.96986,2.02487,1.80943,0.000548,0.000548,0.000548
24,22.5282,1.85862,1.90238,1.71957,0.44071,0.41144,0.36132,0.12456,1.97982,2.05146,1.81176,0.000482,0.000482,0.000482
25,23.0975,1.8441,1.89165,1.67196,0.45473,0.44142,0.38376,0.13441,1.96276,2.02295,1.81535,0.000416,0.000416,0.000416
26,23.6618,1.82625,1.89825,1.68845,0.44584,0.43324,0.35822,0.12839,1.98187,2.02986,1.85833,0.00035,0.00035,0.00035
27,24.2304,1.82468,1.83195,1.64117,0.46379,0.39237,0.38004,0.13797,1.95122,2.01122,1.81274,0.000284,0.000284,0.000284
28,24.8001,1.83471,1.86645,1.63846,0.47269,0.39782,0.38125,0.14132,1.94043,1.96653,1.80665,0.000218,0.000218,0.000218
29,25.3641,1.79715,1.82612,1.63089,0.51362,0.3951,0.38751,0.14182,1.94176,1.98184,1.82352,0.000152,0.000152,0.000152
30,25.9326,1.78118,1.82432,1.64948,0.5163,0.39237,0.39385,0.1447,1.93991,1.95968,1.81259,8.6e-05,8.6e-05,8.6e-05
